"year","state","party","candidatevotes","totalvotes","percentage"
2020,"SOUTH CAROLINA","REPUBLICAN",1385103,15079974,9.18504899279004
2020,"SOUTH DAKOTA","REPUBLICAN",261043,422609,61.7693896722502
2020,"TENNESSEE","REPUBLICAN",1852475,3053851,60.6602941662838
2020,"TEXAS","REPUBLICAN",5890347,11315056,52.0576036035526
2020,"UTAH","REPUBLICAN",865139,5434835,15.918404146584
2020,"VERMONT","DEMOCRAT",242826,370826,65.482463473435
2020,"VIRGINIA","DEMOCRAT",2413568,13386199,18.0302713264609
2020,"WASHINGTON","DEMOCRAT",2369612,4087631,57.9703011353031
2020,"WEST VIRGINIA","REPUBLICAN",545382,794652,68.6315519246161
2020,"WISCONSIN","DEMOCRAT",1630673,3297352,49.454016435006
2020,"WYOMING","REPUBLICAN",193559,278503,69.4997899484027
